section_id,section_title,topic_id,topic_title,question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
CAL,Calculation Topics for the GPhC Pre-Reg Exam,concentrations,Concentration Calculations,CON001,A pharmacist receives a prescription for 250 mL of potassium permanganate solution 1 in 8000 to be used as a soak for a patient with weeping eczema. How many milligrams of potassium permanganate are required to prepare this solution?,25 mg,31.25 mg,50 mg,62.5 mg,125 mg,31.25 mg,A 1 in 8000 solution contains 1 g in 8000 mL. Amount required = (1 g ÷ 8000 mL) × 250 mL = 0.03125 g = 31.25 mg.
CAL,Calculation Topics for the GPhC Pre-Reg Exam,concentrations,Concentration Calculations,CON002,A 62-year-old man is prescribed chloramphenicol 0.5% w/v eye drops. The pharmacy compounds a specials order for 10 mL of solution. How many milligrams of chloramphenicol are required?,25 mg,50 mg,75 mg,100 mg,500 mg,50 mg,0.5% w/v contains 0.5 g per 100 mL. Amount required = (0.5 g ÷ 100 mL) × 10 mL = 0.05 g = 50 mg.
CAL,Calculation Topics for the GPhC Pre-Reg Exam,concentrations,Concentration Calculations,CON003,An IV infusion bag contains potassium chloride 40 mmol/L in sodium chloride 0.9% in a 1 litre bag. The relative molecular mass of potassium chloride is 74.5. How many grams of potassium chloride are contained in the full 1 litre bag? Give your answer to two decimal places.,1.49 g,2.98 g,3.73 g,5.96 g,7.45 g,2.98 g,Moles of KCl = 40 mmol = 0.04 mol. Mass = 0.04 mol × 74.5 g/mol = 2.98 g.
CAL,Calculation Topics for the GPhC Pre-Reg Exam,concentrations,Concentration Calculations,CON004,"A 34-year-old woman experiences anaphylaxis after a wasp sting in the pharmacy. She requires 500 micrograms of adrenaline by intramuscular injection. The pharmacy stocks adrenaline 1 in 1000 ampoules. What volume, in mL, of adrenaline 1 in 1000 should be administered?",0.05 mL,0.1 mL,0.5 mL,1 mL,5 mL,0.5 mL,Adrenaline 1 in 1000 contains 1 g in 1000 mL = 1 mg/mL = 1000 micrograms/mL. Volume = 500 micrograms ÷ 1000 micrograms/mL = 0.5 mL.
CAL,Calculation Topics for the GPhC Pre-Reg Exam,concentrations,Concentration Calculations,CON005,A neonatal unit receives a syringe labelled morphine sulfate 0.05% w/v. How many micrograms of morphine sulfate are contained in each 1 mL of this solution?,5 micrograms,50 micrograms,500 micrograms,5000 micrograms,50000 micrograms,500 micrograms,0.05% w/v means 0.05 g per 100 mL = 0.0005 g/mL = 0.5 mg/mL = 500 micrograms/mL.
CAL,Calculation Topics for the GPhC Pre-Reg Exam,concentrations,Concentration Calculations,CON006,A pharmacist is compounding 100 g of a topical cream containing betamethasone valerate 0.1% w/w with menthol 1% w/w in aqueous cream. How many milligrams of betamethasone valerate are required?,10 mg,50 mg,100 mg,200 mg,1000 mg,100 mg,0.1% w/w contains 0.1 g per 100 g. Amount = (0.1 g ÷ 100 g) × 100 g = 0.1 g = 100 mg.
CAL,Calculation Topics for the GPhC Pre-Reg Exam,concentrations,Concentration Calculations,CON007,A pharmacist receives a query from a nurse about a multidose vial labelled lidocaine hydrochloride 20 mg/mL. What is this concentration expressed as a percentage strength (% w/v)?,0.02% w/v,0.2% w/v,2% w/v,20% w/v,200% w/v,2% w/v,20 mg/mL = 20 mg per 1 mL = 2000 mg per 100 mL = 2 g per 100 mL = 2% w/v.
CAL,Calculation Topics for the GPhC Pre-Reg Exam,concentrations,Concentration Calculations,CON008,A 1 litre bag of sodium chloride 0.9% w/v is to be administered to a patient with hyponatraemia. The relative molecular mass of sodium chloride is 58.5. How many millimoles of sodium are contained in the bag? Give your answer to the nearest whole number.,90 mmol,108 mmol,154 mmol,180 mmol,308 mmol,154 mmol,"Mass NaCl in bag = 0.9 g/100 mL × 1000 mL = 9 g. Moles = 9 ÷ 58.5 = 0.1538 mol = 153.8 mmol. Each mole of NaCl yields 1 mole of Na⁺ ions, so 154 mmol of sodium (to nearest whole number)."
CAL,Calculation Topics for the GPhC Pre-Reg Exam,concentrations,Concentration Calculations,CON009,A water fluoridation scheme adds fluoride to drinking water at a concentration of 5 parts per million (ppm). How many milligrams of fluoride are contained in a 250 mL glass of this water? Give your answer to two decimal places.,0.13 mg,0.50 mg,1.25 mg,2.50 mg,12.50 mg,1.25 mg,5 ppm in water ≈ 5 mg/L (since 1 L water ≈ 1 kg). Amount in 250 mL = 5 mg/L × 0.25 L = 1.25 mg.
CAL,Calculation Topics for the GPhC Pre-Reg Exam,concentrations,Concentration Calculations,CON010,A pharmacy sells 500 mL bottles of hand sanitiser containing ethanol 70% v/v. How many millilitres of pure ethanol are contained in each bottle?,35 mL,70 mL,150 mL,350 mL,465 mL,350 mL,70% v/v contains 70 mL of ethanol per 100 mL of solution. Volume of ethanol = (70 mL ÷ 100 mL) × 500 mL = 350 mL.
