topic_id,question_id,question_text,option_1,option_2,option_3,option_4,option_5,correct_answer,explanation
compounding,COM045,A pharmacist is preparing 150 mL of a 0.02% w/v atropine sulfate eye drop. How many milligrams of atropine sulfate are required?,30 mg,40 mg,50 mg,60 mg,70 mg,30 mg,0.02% w/v means 0.02 g per 100 mL. Amount needed = (0.02 g/100 mL) × 150 mL = 0.03 g = 30 mg.
compounding,COM005,A pharmacist needs to make 200 mL of a 0.02% w/v ophthalmic solution. How many milligrams of the drug are required?,20 mg,40 mg,60 mg,80 mg,100 mg,40 mg,0.02% w/v means 0.02 g per 100 mL. Amount needed = (0.02 g/100 mL) × 200 mL = 0.04 g = 40 mg.
compounding,COM031,A pharmacist needs to prepare 100 mL of a 0.02% w/v atropine eye drops. How many milligrams of atropine are required?,10 mg,20 mg,30 mg,40 mg,50 mg,20 mg,0.02% w/v means 0.02 g per 100 mL. Amount needed = 0.02 g = 20 mg.
calculation,CAL105,A cream contains 0.025% of an active ingredient. How many milligrams are in 30 g of the cream?,7.5 mg,0.75 mg,75 mg,15 mg,0.375 mg,7.5 mg,"0.025% means 0.025 g in 100 g. Therefore, in 30 g: (0.025 g / 100 g) × 30 g = 0.0075 g = 7.5 mg."
compounding,COM027,A compounded topical gel requires 0.025% clobetasol propionate. How much clobetasol propionate (in mg) is needed to prepare 30 g of the gel?,5 mg,7.5 mg,10 mg,15 mg,20 mg,7.5 mg,0.025% w/w means 0.025 g per 100 g. Amount needed = (0.025 g/100 g) × 30 g = 0.0075 g = 7.5 mg.
compounding,COM038,"To prepare 500 mL of a 0.04% w/v gentamicin ophthalmic solution, how many milligrams of gentamicin are required?",100 mg,150 mg,200 mg,250 mg,300 mg,200 mg,0.04% w/v means 0.04 g per 100 mL. Amount needed = (0.04 g/100 mL) × 500 mL = 0.2 g = 200 mg.
calculation,CAL048,A cream contains 0.05% betamethasone. How many micrograms of betamethasone are in 15 g of the cream?,7.5 mg,0.75 mg,75 mg,15 mg,7.5 μg,7.5 mg,"0.05% means 0.05 g in 100 g. Therefore, in 15 g: (0.05 g / 100 g) × 15 g = 0.0075 g = 7.5 mg."
calculation,CAL114,A pharmacist needs to prepare 100 mL of a 0.05% solution. How many milligrams of solute are required?,50 mg,5 mg,0.5 mg,0.05 mg,500 mg,50 mg,0.05% means 0.05 g in 100 mL = 50 mg in 100 mL.
compounding,COM019,A prescription requires 75 g of a cream containing 0.05% betamethasone. How many grams of betamethasone (in mg) are needed?,25 mg,37.5 mg,50 mg,62.5 mg,75 mg,37.5 mg,0.05% w/w means 0.05 g per 100 g. Amount needed = (0.05 g/100 g) × 75 g = 0.0375 g = 37.5 mg.
calculation,CAL085,A cream contains 0.1% w/w of an active ingredient. How many grams of the active ingredient are in 45 g of the cream?,0.045 g,0.45 g,4.5 g,0.0045 g,0.1 g,0.045 g,"0.1% means 0.1 g in 100 g. Therefore, in 45 g: (0.1 g / 100 g) × 45 g = 0.045 g."
liquid,LIQ096,You need to prepare 200 mL of a 0.1% w/v syrup. How many grams of Drug B are required?,0.1 g,0.2 g,0.3 g,0.4 g,0.5 g,0.2 g,0.1% w/v means 0.1 g per 100 mL. Amount needed = (0.1 g/100 mL) × 200 mL = 0.2 g.
compounding,COM002,You are asked to compound 50 mL of a 0.1% w/v atropine sulfate solution for oral use. How much atropine sulfate (in mg) is needed?,50 mg,75 mg,100 mg,150 mg,200 mg,50 mg,0.1% w/v means 0.1 g per 100 mL. Amount needed = (0.1 g/100 mL) × 50 mL = 0.05 g = 50 mg.
formulation,FOR039,You are to prepare 100 mL of a 0.1% hydrocortisone lotion. How many grams of hydrocortisone are needed?,0.1 g,0.15 g,0.2 g,0.25 g,0.3 g,0.1 g,0.1% w/v means 0.1 g per 100 mL. Amount needed = 0.1 g.
unit,UNI102,A sample contains 0.1% w/v of a substance. How many grams are in 250 mL of solution?,0.025 g,0.25 g,2.5 g,25 g,250 g,0.25 g,"0.1% w/v means 0.1 g per 100 mL. So, in 250 mL: (0.1 g / 100 mL) × 250 mL = 0.25 g."
compounding,COM034,"To prepare 120 g of a 0.1% w/w tacrolimus ointment, how much tacrolimus is required?",100 mg,120 mg,150 mg,180 mg,200 mg,120 mg,0.1% w/w means 0.1 g per 100 g. Amount needed = (0.1 g/100 g) × 120 g = 0.12 g = 120 mg.
compounding,COM040,You are compounding 250 g of a cream containing 5% benzoyl peroxide and 0.1% adapalene. How much adapalene (in mg) is needed?,100 mg,150 mg,200 mg,250 mg,300 mg,250 mg,0.1% w/w means 0.1 g per 100 g. Amount needed = (0.1 g/100 g) × 250 g = 0.25 g = 250 mg.
compounding,COM025,A patient needs a compounded ointment containing 0.1% tretinoin. How much tretinoin (in mg) is required to prepare 45 g of the ointment?,100 mg,150 mg,200 mg,250 mg,300 mg,45 mg,0.1% w/w means 0.1 g per 100 g. Amount needed = (0.1 g/100 g) × 45 g = 0.045 g = 45 mg.
compounding,COM020,"To prepare 500 mL of a mouthwash containing 0.12% chlorhexidine gluconate, how many grams are required?",0.5 g,0.6 g,0.75 g,1 g,1.2 g,0.6 g,0.12% w/v means 0.12 g per 100 mL. Amount needed = (0.12 g/100 mL) × 500 mL = 0.6 g.
calculation,CAL063,A patient is prescribed digoxin 0.125 mg daily. Tablets are available at 250 mcg strength. How many tablets should the patient take daily?,0.5 tablet,1 tablet,2 tablets,1.5 tablets,0.25 tablet,0.5 tablet,0.125 mg = 125 mcg. Number of tablets = 125 mcg / 250 mcg/tablet = 0.5 tablet.
dilution,DIL122,You have 200 mL of a 15% w/v solution. How many grams of solute are present?,0.2 g,0.3 g,0.4 g,0.5 g,0.6 g,0.3 g,0.15% w/v means 15 g per 100 mL. Total grams = (15 g/100 mL) × 200 mL = 30 g.
calculation,CAL059,A solution contains 0.2% w/v of a drug. How many milligrams are in 250 mL of this solution?,500 mg,50 mg,250 mg,100 mg,200 mg,500 mg,"0.2% w/v means 0.2 g in 100 mL. Therefore, in 250 mL: (0.2 g / 100 mL) × 250 mL = 0.5 g = 500 mg."
formulation,FOR062,A solution contains 0.2% w/v of a drug. How many milligrams are in 250 mL of this solution?,250 mg,400 mg,500 mg,600 mg,700 mg,500 mg,0.2% w/v means 0.2 g per 100 mL. Amount in 250 mL = (0.2 g/100 mL) × 250 mL = 0.5 g = 500 mg.
formulation,FOR075,A solution contains 0.2% w/v of a drug. How many milligrams are in 250 mL of this solution?,250 mg,400 mg,500 mg,600 mg,700 mg,500 mg,0.2% w/v means 0.2 g per 100 mL. Amount in 250 mL = (0.2 g/100 mL) × 250 mL = 0.5 g = 500 mg.
liquid,LIQ026,You need to prepare 1000 mL of a 0.2% w/v solution. How many grams of the active ingredient are required?,1 g,2 g,3 g,4 g,5 g,2 g,0.2% w/v means 0.2 g per 100 mL. Amount needed = (0.2 g/100 mL) × 1000 mL = 2 g.
liquid,LIQ114,"To prepare 250 mL of a 0.2% w/v syrup, how many grams of the active ingredient are required?",0.4 g,0.5 g,0.6 g,0.75 g,1.0 g,0.5 g,0.2% w/v means 0.2 g per 100 mL. Amount needed = (0.2 g/100 mL) × 250 mL = 0.5 g.
liquid,LIQ065,A pharmacist needs to prepare 350 mL of a 0.2% w/v glucose solution. How many grams of glucose are required?,0.5 g,0.6 g,0.7 g,0.8 g,0.9 g,0.7 g,0.2% w/v means 0.2 g per 100 mL. Amount needed = (0.2 g/100 mL) × 350 mL = 0.7 g.
liquid,LIQ078,"To make 500 mL of a 0.2% w/v syrup, how many grams of the active ingredient are required?",0.8 g,1.0 g,1.2 g,1.5 g,2.0 g,1.0 g,0.2% w/v means 0.2 g per 100 mL. Amount needed = (0.2 g/100 mL) × 500 mL = 1.0 g.
