section_id,section_title,topic_id,topic_title,question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS001,A 45-year-old man of black African family origin is newly diagnosed with stage 1 hypertension. His ABPM daytime average is 152/96 mmHg. He has no other medical conditions and takes no regular medication. His U&Es are within normal limits. Which is the most appropriate first-line antihypertensive drug treatment for this patient?,ramipril,losartan,bendroflumethiazide,amlodipine,bisoprolol,amlodipine,"Per NICE NG136, adults of black African or African-Caribbean family origin (any age) should be offered a calcium channel blocker as first-line treatment, regardless of age. Amlodipine is the standard first-line CCB. ACE inhibitors are not first-line in this group due to lower efficacy (lower renin levels) and a higher risk of angioedema. ARBs (e.g. losartan) are preferred over ACEi if a RAAS blocker is needed at step 2."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS002,"A 52-year-old white man is newly diagnosed with stage 2 hypertension (clinic BP 168/104 mmHg, ABPM daytime 158/98 mmHg). He has no other medical conditions, takes no regular medication, and U&Es are normal. Which is the most appropriate first-line antihypertensive drug treatment?",amlodipine,atenolol,bendroflumethiazide,indapamide,ramipril,ramipril,"Per NICE NG136, adults under 55 years not of black African/Caribbean family origin should be offered an ACE inhibitor (or ARB if not tolerated) as first-line. Ramipril is a standard first-line ACE inhibitor. CCBs are first-line for those aged 55+ or of black African/Caribbean family origin. Thiazide-like diuretics (indapamide) are first-line only if a CCB is unsuitable. Atenolol and other beta-blockers are no longer routinely recommended for primary hypertension management."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS003,"A 71-year-old woman with type 2 diabetes has hypertension controlled on amlodipine 10 mg OD and ramipril 10 mg OD. Her most recent clinic BP is 158/92 mmHg, confirmed by ABPM daytime average of 152/88 mmHg. She has no other comorbidities. U&Es are normal. Which is the most appropriate next step?",add bisoprolol fumarate 2.5 mg OD,add indapamide 2.5 mg OD,add spironolactone 25 mg OD,increase amlodipine to 15 mg OD,switch ramipril to losartan,add indapamide 2.5 mg OD,"Per NICE NG136, step 3 antihypertensive therapy (when BP not controlled on step 2 CCB + ACEi/ARB) is to add a thiazide-like diuretic such as indapamide. Spironolactone is reserved for step 4 (resistant hypertension) and only if blood potassium is ≤4.5 mmol/L. Amlodipine doses above 10 mg are not licensed. Beta-blockers are not part of the standard step-up pathway unless there is a compelling indication."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS004,"A 39-year-old pregnant woman at 14 weeks' gestation is found to have a clinic BP of 158/102 mmHg on two separate readings, confirmed as hypertension. She has no proteinuria. She has no other medical conditions and is not taking any regular medication. Which is the most appropriate first-line antihypertensive treatment?",amlodipine,atenolol,labetalol,lisinopril,losartan,labetalol,"Per NICE NG133 (hypertension in pregnancy), labetalol is first-line for treating hypertension in pregnancy (chronic, gestational, or pre-eclampsia). Nifedipine and methyldopa are alternatives. ACE inhibitors (lisinopril) and ARBs (losartan) are contraindicated in pregnancy due to fetal renal toxicity, oligohydramnios and risk of fetal death. Atenolol is associated with fetal growth restriction. Amlodipine is not licensed or recommended in pregnancy due to limited safety data."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS005,A 62-year-old man with hypertension is taking ramipril 10 mg OD. He attends the pharmacy reporting a persistent dry cough that has been present for 6 weeks and is interrupting his sleep. He has no other respiratory symptoms. He has no allergies and no other medical conditions. Which is the most appropriate action?,advise to continue ramipril and review cough in 4 weeks,reduce ramipril to 5 mg OD,refer to GP to switch ramipril to losartan,refer to GP to switch ramipril to amlodipine,stop ramipril and recommend over-the-counter cough suppressant,refer to GP to switch ramipril to losartan,"Per BNF and NICE NG136, ACE inhibitor-induced dry cough affects 5-15% of patients and typically does not resolve while continuing the drug. The recommended action is to switch to an angiotensin II receptor blocker (ARB) such as losartan or candesartan, which acts on the same RAAS pathway but does not cause cough (no bradykinin accumulation). The patient retains the cardiovascular protective benefit. Amlodipine is a different class and would not be a like-for-like substitute. The cough is unlikely to resolve with continued ramipril and may indicate a need to investigate other causes if it persists after switching."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS006,"A 64-year-old man is discharged from hospital following a STEMI treated with primary PCI. He has no significant bleeding risk factors. His discharge prescription includes aspirin 75 mg OD, atorvastatin 80 mg OD, bisoprolol 2.5 mg OD, and ramipril 2.5 mg OD. Which is the most appropriate additional antiplatelet to prescribe?",clopidogrel 75 mg OD for 1 month,clopidogrel 75 mg OD for 12 months,dipyridamole 200 mg modified-release BD for 12 months,prasugrel 10 mg OD for 12 months,ticagrelor 90 mg BD for 12 months,ticagrelor 90 mg BD for 12 months,"Per NICE NG185, following a STEMI treated with PCI, ticagrelor 90 mg BD plus aspirin (dual antiplatelet therapy, DAPT) is recommended for 12 months unless contraindicated or the patient has a high bleeding risk. Clopidogrel is reserved for patients with high bleeding risk or those who require concurrent oral anticoagulation. Prasugrel is an alternative to ticagrelor (per NICE TA317) but is not first-line in NG185. Dipyridamole is not indicated in ACS."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS007,"A 58-year-old woman is admitted with an NSTEMI. She is started on aspirin, ticagrelor, fondaparinux and atorvastatin. She has a past medical history of atrial fibrillation, for which she takes apixaban 5 mg BD. She undergoes PCI with stent placement. Which is the most appropriate antiplatelet/anticoagulation strategy for the 12 months following discharge?",aspirin + apixaban,aspirin + clopidogrel + apixaban for 12 months,"aspirin + ticagrelor for 12 months, stop apixaban",clopidogrel + apixaban for up to 12 months,ticagrelor + apixaban for 12 months,clopidogrel + apixaban for up to 12 months,"Per NICE NG185, for patients with a new or existing indication for oral anticoagulation who have had PCI for ACS, clopidogrel (replacing prasugrel or ticagrelor) plus their oral anticoagulant should be offered for up to 12 months. Triple therapy (aspirin + clopidogrel + anticoagulant) is generally avoided beyond the very short term (1 week to 1 month) due to high bleeding risk. Stopping apixaban would leave her unprotected from AF-related stroke. Ticagrelor and prasugrel are not used with anticoagulants due to bleeding risk."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS008,"A 70-year-old man had an MI 10 days ago and was discharged on aspirin 75 mg OD, ticagrelor 90 mg BD, atorvastatin 80 mg OD, bisoprolol 5 mg OD and ramipril 5 mg OD. He attends the pharmacy with a prescription that omits the bisoprolol. On further questioning, he reports that his GP stopped it because he 'felt tired'. Which is the most appropriate action?",accept the prescription change and dispense as written,contact the GP to discuss whether the bisoprolol can be reduced rather than stopped,dispense the prescription but advise the patient to take half a bisoprolol tablet each day,refer the patient to a cardiology specialist for review,tell the patient to restart the bisoprolol at the previous dose,contact the GP to discuss whether the bisoprolol can be reduced rather than stopped,"Per NICE NG185 and the BNF, beta-blockers reduce mortality after MI and should be continued long-term in patients with reduced LV function and at least for 12 months in those with preserved LV function. They should not be stopped abruptly due to risk of rebound tachycardia and worsening ischaemia. A pharmacist receiving a prescription that omits a prognostic post-MI medication has a professional responsibility to clarify. Suggesting a dose reduction (rather than discontinuation) addresses the patient's tiredness while maintaining cardiovascular protection."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS009,"A 68-year-old woman attends the pharmacy 3 days after starting atorvastatin 80 mg OD following an NSTEMI. She reports significant generalised muscle pain that started 24 hours after her first dose. She has no other new symptoms. She is also taking aspirin 75 mg, ticagrelor 90 mg BD, bisoprolol 2.5 mg OD and ramipril 5 mg OD. Which is the most appropriate action?",advise the patient to continue atorvastatin and review in 2 weeks,advise the patient to take atorvastatin every other day,refer the patient to A&E urgently for assessment of rhabdomyolysis,refer the patient to the GP urgently for creatine kinase (CK) measurement,stop atorvastatin and suggest the GP switches to a different statin,refer the patient to the GP urgently for creatine kinase (CK) measurement,"Per BNF and MHRA Drug Safety Update on statin-induced myopathy: any patient on a statin reporting unexplained muscle pain, tenderness or weakness should have CK measured before continuing. The risk of myopathy is dose-related and is highest in the first weeks of treatment. Same-day GP review for CK measurement is appropriate. Significantly elevated CK (>5x upper limit of normal) requires statin discontinuation. A&E is reserved for suspected rhabdomyolysis with red/brown urine, severe pain or systemic symptoms. Continuing or modifying the dose without checking CK is not appropriate at this stage."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS010,A 70-year-old man with newly diagnosed heart failure with reduced ejection fraction (LVEF 30%) is being initiated on guideline-directed medical therapy. He has no contraindications. His current medication is amlodipine 5 mg OD for hypertension. Which combination of medication classes represents the 'four pillars' of treatment for HFrEF?,ACE inhibitor + beta-blocker + loop diuretic + SGLT2 inhibitor,ACE inhibitor + beta-blocker + MRA + SGLT2 inhibitor,ACE inhibitor + calcium channel blocker + MRA + SGLT2 inhibitor,ARB + beta-blocker + loop diuretic + ivabradine,beta-blocker + ivabradine + MRA + SGLT2 inhibitor,ACE inhibitor + beta-blocker + MRA + SGLT2 inhibitor,"Per NICE NG106 and the 2021 ESC HF guidelines, the 'four pillars' of disease-modifying therapy for HFrEF (LVEF ≤40%) are: (1) ACE inhibitor (or ARB or ARNI), (2) beta-blocker licensed for HF (bisoprolol, carvedilol, nebivolol), (3) mineralocorticoid receptor antagonist (spironolactone or eplerenone), and (4) SGLT2 inhibitor (dapagliflozin or empagliflozin). All four classes have independent mortality benefit. Loop diuretics (e.g. furosemide) treat congestion symptoms but do not reduce mortality. CCBs (other than amlodipine for HTN/angina) and most non-dihydropyridines are contraindicated in HFrEF."
